STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/30/14,0,1,0,30,16,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,1/31/14,0,1.2,0,39,25,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/1/14,0,1.2,0,45,36,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/2/14,0,1.2,0,56,39,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/3/14,1.17,1.2,8,43,27,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/4/14,0,7.9,0,35,22,2.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/5/14,1.43,9.1,4,34,29,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/6/14,0,9.1,0,32,21,4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/7/14,0,9.1,0,32,24,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/8/14,0,9.1,0,29,21,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/9/14,0.1,7.9,1.2,31,21,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/10/14,0,9.8,0,29,21,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/11/14,0,9.8,0,26,16,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/12/14,0,9.8,0,25,13,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/13/14,1.78,11.8,9.5,36,24,12.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/14/14,0.3,18.1,3,40,31,10.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/15/14,0.13,18.1,1.6,37,27,9.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/16/14,0,18.1,0,30,21,8.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/17/14,0,16.9,0,32,18,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/18/14,0.16,18.1,1.5,39,26,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/19/14,0.26,16.9,0,45,34,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/20/14,0.03,15,0,51,37,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/21/14,0.09,13,0,49,36,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/22/14,0,9.8,0,54,40,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/23/14,0,9.1,0,54,43,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/24/14,0,5.9,0,44,27,9.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/25/14,0,5.9,0,33,24,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/26/14,0.03,5.9,0.2,31,20,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/27/14,0,5.9,0,34,14,8.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,2/28/14,0,5.9,0,24,9,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/1/14,0,5.9,0,37,20,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/2/14,0,5.1,0,40,32,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/3/14,0.04,5.1,0.1,32,17,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/4/14,0,5.1,0,29,13,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/5/14,0,3.9,0,39,26,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/6/14,0,3.9,0,31,16,8.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/7/14,0,3.9,0,37,26,7.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/8/14,0,3.1,0,57,35,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/9/14,0,2,0,44,36,6.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/10/14,0,1.2,0,51,36,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/11/14,0,0,0,66,45,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/12/14,0.35,0,0,56,32,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/13/14,0,0,0,32,18,14.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/14/14,0,0,0,46,22,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/15/14,0,0,0,58,42,8.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/16/14,0,0,0,42,30,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/17/14,0,0,0,35,23,8.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/18/14,0,0,0,43,28,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/19/14,0.92,0,0,46,32,7.2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/20/14,0,0,0,54,40,8.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/21/14,0,0,0,51,39,7.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/22/14,0,0,0,63,41,6.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/23/14,0,0,0,42,27,7.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/24/14,0,0,0,35,21,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/25/14,0,0,0,39,26,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/26/14,0,0,0,36,24,11.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/27/14,0,0,0,44,22,6.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/28/14,0.04,0,0,62,37,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/29/14,1.81,0,0,59,43,10.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/30/14,0.35,0,0,49,39,10.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,3/31/14,0.16,0,0,56,36,8.3
